Date,Hour,Store_ID,Staff_On_Shift,Transactions,Total_Sales,Foot_Traffic
2024-06-01,10,101,4,19,500.44,114
2024-06-01,11,101,2,16,448.81,125
2024-06-01,12,101,4,12,314.97,117
2024-06-01,13,101,4,8,250.94,128
2024-06-01,14,101,3,14,443.28,130
2024-06-01,15,101,2,13,456.64,115
2024-06-01,16,101,2,15,466.98,124
2024-06-01,17,101,5,17,672.11,117
2024-06-01,18,101,2,20,627.6,122
2024-06-01,19,101,5,22,1078.92,124
2024-06-01,20,101,4,20,715.99,139
2024-06-01,21,101,3,18,637.37,130
2024-06-01,10,102,3,11,393.37,121
2024-06-01,11,102,3,16,577.93,119
2024-06-01,12,102,4,11,326.08,137
2024-06-01,13,102,4,11,395.63,103
2024-06-01,14,102,2,18,658.57,123
2024-06-01,15,102,4,16,629.22,122
2024-06-01,16,102,5,18,669.52,128
2024-06-01,17,102,4,12,373.44,132
2024-06-01,18,102,3,18,559.95,111
2024-06-01,19,102,2,14,406.76,121
2024-06-01,20,102,4,9,328.95,110
2024-06-01,21,102,3,14,345.48,108
2024-06-01,10,103,3,13,442.72,116
2024-06-01,11,103,5,15,630.63,121
2024-06-01,12,103,4,16,481.97,121
2024-06-01,13,103,2,18,714.89,106
2024-06-01,14,103,3,14,466.28,140
2024-06-01,15,103,5,18,633.04,111
2024-06-01,16,103,3,13,401.15,124
2024-06-01,17,103,5,20,709.03,125
2024-06-01,18,103,5,15,602.88,115
2024-06-01,19,103,4,11,410.15,114
2024-06-01,20,103,2,11,386.92,115
2024-06-01,21,103,5,14,479.81,105
2024-06-01,10,104,2,8,348.12,108
2024-06-01,11,104,3,15,473.87,116
2024-06-01,12,104,4,19,625.25,126
2024-06-01,13,104,4,16,548.22,133
2024-06-01,14,104,3,16,526.88,125
2024-06-01,15,104,2,20,806.3,124
2024-06-01,16,104,4,18,679.53,114
2024-06-01,17,104,5,12,419.61,112
2024-06-01,18,104,2,18,651.61,110
2024-06-01,19,104,4,12,423.01,125
2024-06-01,20,104,5,13,593.65,95
2024-06-01,21,104,5,11,420.27,131
2024-06-01,10,105,4,16,725.04,128
2024-06-01,11,105,2,15,340.29,122
2024-06-01,12,105,4,17,526.63,114
2024-06-01,13,105,5,14,560.42,108
2024-06-01,14,105,4,10,346.86,111
2024-06-01,15,105,2,12,427.41,116
2024-06-01,16,105,5,15,429.28,126
2024-06-01,17,105,2,9,323.1,114
2024-06-01,18,105,5,21,898.74,135
2024-06-01,19,105,2,12,254.66,126
2024-06-01,20,105,5,10,364.08,107
2024-06-01,21,105,5,11,402.37,127
2024-06-01,10,106,5,22,790.28,120
2024-06-01,11,106,3,12,338.71,106
2024-06-01,12,106,3,12,422.98,127
2024-06-01,13,106,2,15,427.88,117
2024-06-01,14,106,4,17,664.02,123
2024-06-01,15,106,4,15,438.26,124
2024-06-01,16,106,5,16,567.01,124
2024-06-01,17,106,2,23,788.19,142
2024-06-01,18,106,2,17,724.27,126
2024-06-01,19,106,5,11,270.4,113
2024-06-01,20,106,2,9,273.67,116
2024-06-01,21,106,5,13,443.71,130
2024-06-01,10,107,5,13,429.71,105
2024-06-01,11,107,3,14,517.73,111
2024-06-01,12,107,2,13,495.03,133
2024-06-01,13,107,2,20,877.99,116
2024-06-01,14,107,4,14,405.58,124
2024-06-01,15,107,2,16,702.58,116
2024-06-01,16,107,5,14,517.54,122
2024-06-01,17,107,4,13,473.3,117
2024-06-01,18,107,3,16,585.24,113
2024-06-01,19,107,2,10,413.94,118
2024-06-01,20,107,4,11,415.37,128
2024-06-01,21,107,5,9,372.76,97
2024-06-01,10,108,3,17,567.77,119
2024-06-01,11,108,3,11,355.2,118
2024-06-01,12,108,4,14,525.12,131
2024-06-01,13,108,3,13,436.95,115
2024-06-01,14,108,5,14,538.74,116
2024-06-01,15,108,5,18,578.07,129
2024-06-01,16,108,2,10,361.67,116
2024-06-01,17,108,5,12,488.2,116
2024-06-01,18,108,3,16,583.33,118
2024-06-01,19,108,3,10,401.37,110
2024-06-01,20,108,4,12,412.88,115
2024-06-01,21,108,3,19,625.1,123
2024-06-01,10,109,2,11,469.34,124
2024-06-01,11,109,4,12,382.81,101
2024-06-01,12,109,2,15,524.13,107
2024-06-01,13,109,4,17,582.34,112
2024-06-01,14,109,5,9,336.26,110
2024-06-01,15,109,2,15,535.94,139
2024-06-01,16,109,2,18,626.3,126
2024-06-01,17,109,3,20,758.23,117
2024-06-01,18,109,2,13,461.88,127
2024-06-01,19,109,3,13,488.33,103
2024-06-01,20,109,5,22,647.0,128
2024-06-01,21,109,4,13,408.46,122
2024-06-01,10,110,5,11,387.78,123
2024-06-01,11,110,2,14,566.78,108
2024-06-01,12,110,3,12,504.65,130
2024-06-01,13,110,3,15,426.32,132
2024-06-01,14,110,2,14,498.4,128
2024-06-01,15,110,2,15,551.0,126
2024-06-01,16,110,3,14,519.17,139
2024-06-01,17,110,3,14,449.88,126
2024-06-01,18,110,2,17,580.04,116
2024-06-01,19,110,3,15,600.54,121
2024-06-01,20,110,2,10,234.58,131
2024-06-01,21,110,3,14,581.91,113
2024-06-01,10,111,5,17,590.68,132
2024-06-01,11,111,3,14,410.94,112
2024-06-01,12,111,3,17,577.16,118
2024-06-01,13,111,4,13,513.01,117
2024-06-01,14,111,5,19,563.21,130
2024-06-01,15,111,2,18,745.81,123
2024-06-01,16,111,5,14,445.64,127
2024-06-01,17,111,5,18,797.09,132
2024-06-01,18,111,3,11,346.08,111
2024-06-01,19,111,3,17,515.38,121
2024-06-01,20,111,2,20,915.68,120
2024-06-01,21,111,4,14,408.77,134
2024-06-01,10,112,4,8,341.66,128
2024-06-01,11,112,3,13,484.07,115
2024-06-01,12,112,5,13,367.41,107
2024-06-01,13,112,5,14,509.52,112
2024-06-01,14,112,3,15,635.53,109
2024-06-01,15,112,5,11,420.64,129
2024-06-01,16,112,3,16,626.1,119
2024-06-01,17,112,3,8,272.48,98
2024-06-01,18,112,4,18,623.3,135
2024-06-01,19,112,2,22,956.02,138
2024-06-01,20,112,5,14,466.03,127
2024-06-01,21,112,3,17,654.58,105
2024-06-01,10,113,4,19,783.97,128
2024-06-01,11,113,2,14,479.69,139
2024-06-01,12,113,4,12,443.42,104
2024-06-01,13,113,3,13,481.77,123
2024-06-01,14,113,5,15,720.6,118
2024-06-01,15,113,2,14,545.36,111
2024-06-01,16,113,5,10,356.21,110
2024-06-01,17,113,2,12,441.93,110
2024-06-01,18,113,3,13,445.37,131
2024-06-01,19,113,5,12,528.42,115
2024-06-01,20,113,4,11,309.9,129
2024-06-01,21,113,2,10,241.03,117
2024-06-01,10,114,5,23,953.82,132
2024-06-01,11,114,2,14,607.66,114
2024-06-01,12,114,5,11,452.34,120
2024-06-01,13,114,4,12,381.46,113
2024-06-01,14,114,4,13,293.63,130
2024-06-01,15,114,3,15,548.13,122
2024-06-01,16,114,2,16,614.5,138
2024-06-01,17,114,4,12,494.7,109
2024-06-01,18,114,2,8,297.37,105
2024-06-01,19,114,2,16,588.62,106
2024-06-01,20,114,2,15,531.99,118
2024-06-01,21,114,2,14,446.11,112
2024-06-01,10,115,4,12,488.63,117
2024-06-01,11,115,5,14,538.56,113
2024-06-01,12,115,5,12,365.59,129
2024-06-01,13,115,3,15,509.4,119
2024-06-01,14,115,3,13,420.28,106
2024-06-01,15,115,4,10,441.93,106
2024-06-01,16,115,2,15,489.95,122
2024-06-01,17,115,4,12,397.26,126
2024-06-01,18,115,5,22,707.16,140
2024-06-01,19,115,4,15,507.98,113
2024-06-01,20,115,5,17,731.19,127
2024-06-01,21,115,3,11,378.21,114
2024-06-01,10,116,2,11,361.6,113
2024-06-01,11,116,2,10,350.67,100
2024-06-01,12,116,3,12,437.47,136
2024-06-01,13,116,5,15,474.79,111
2024-06-01,14,116,2,16,547.63,125
2024-06-01,15,116,3,13,427.3,113
2024-06-01,16,116,4,14,410.0,128
2024-06-01,17,116,4,15,623.87,121
2024-06-01,18,116,4,8,294.44,123
2024-06-01,19,116,5,18,624.8,119
2024-06-01,20,116,3,11,384.99,124
2024-06-01,21,116,2,14,457.56,128
2024-06-01,10,117,3,13,394.63,115
2024-06-01,11,117,2,10,282.99,95
2024-06-01,12,117,5,13,320.13,131
2024-06-01,13,117,2,17,712.38,121
2024-06-01,14,117,3,24,937.45,138
2024-06-01,15,117,4,15,425.46,128
2024-06-01,16,117,2,20,653.13,139
2024-06-01,17,117,3,12,434.73,118
2024-06-01,18,117,2,17,665.32,119
2024-06-01,19,117,2,12,465.92,119
2024-06-01,20,117,4,14,409.22,113
2024-06-01,21,117,2,19,726.19,130
2024-06-01,10,118,3,15,396.42,107
2024-06-01,11,118,2,19,595.65,108
2024-06-01,12,118,4,16,645.77,133
2024-06-01,13,118,3,16,502.1,105
2024-06-01,14,118,2,22,882.9,125
2024-06-01,15,118,2,13,460.43,118
2024-06-01,16,118,3,12,420.79,104
